name,ingredients
Grilled Cheese,bread;cheese;butter
Omelet,eggs;cheese;milk
French Toast,bread;eggs;milk;cinnamon
Pasta,pasta;tomato sauce;cheese
Salad,lettuce;tomato;cucumber;olive oil
Scrambled Eggs,eggs;butter;milk
Egg Sandwich,bread;eggs;cheese
Cheese Quesadilla,tortilla;cheese;butter
Pancakes,flour;milk;eggs;butter
Mac and Cheese,pasta;cheese;milk;butter
BLT Sandwich,bread;bacon;lettuce;tomato
Chicken Salad,chicken;lettuce;mayonnaise;celery
Fruit Smoothie,milk;banana;strawberry;honey
Peanut Butter Sandwich,bread;peanut butter
Peanut Butter Banana Toast,bread;peanut butter;banana
Rice Bowl,rice;chicken;soy sauce
Fried Rice,rice;eggs;soy sauce;vegetables
Chicken Stir Fry,chicken;soy sauce;vegetables;garlic
Garlic Pasta,pasta;garlic;olive oil
Tomato Soup,tomato;cream;garlic
Baked Potato,potato;butter;cheese
Mashed Potatoes,potato;milk;butter
Roasted Vegetables,carrot;potato;olive oil;garlic
Veggie Omelet,eggs;pepper;onion;cheese
Caprese Salad,tomato;mozzarella;olive oil
Turkey Sandwich,bread;turkey;cheese;lettuce
Ham Sandwich,bread;ham;cheese
Breakfast Burrito,tortilla;eggs;cheese;bacon
Nachos,tortilla chips;cheese;salsa
Cheese Pizza,dough;tomato sauce;cheese
